series,episode,baker,baker_last_name,baker_age,hometown,baker_occupation,technical,result,signature_bake,show_stopper
8,7,Sophie,Faldo,33,"West Molesey, Surrey",Former army officer and trainee stuntwoman,3,IN,'Classics with a Twist' Cannoli,'Classics' Sfogliatelle
8,7,Stacey,Hart,42,"Radlett, Hertfordshire",Former school teacher,4,IN,My All Time Favourite Desserts,Pastry Surprise
8,7,Yan,Tsou,46,North London,Laboratory research scientist,5,OUT,Cannoli Cocktails,Canadian-Style Sfogliatelle
8,7,Kate,Lyon,29,Merseyside,Health and safety inspector,6,IN,'Happy Hour' Cocktail Cannoli,'Flavour Fusion' Sfogliatelle
8,8,Steven,Carter,34,"Watford, Hertfordshire",Marketer,1,IN,'Mediterranean Medley' Bedfordshire Clangers,Chestnut Rum Savoy Cake
8,8,Kate,Lyon,29,Merseyside,Health and safety inspector,2,IN,Burrito Bedfordshire Clangers,'Liver Building Turret' Savoy Cake
8,8,Stacey,Hart,42,"Radlett, Hertfordshire",Former school teacher,3,STAR BAKER,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,'Bright' Lemon & Orange Savoy Cake
8,8,Sophie,Faldo,33,"West Molesey, Surrey",Former army officer and trainee stuntwoman,4,IN,Char Siu & Banana Praline Bedfordshire Clangers,Citrus with Green Apple Croquembouche Savoy Cake
8,8,Liam,Charles,19,North London,Student,5,OUT,'Take Out' Bedfordshire Clangers,'Fort Wizardore' Savoy Cake
8,9,Sophie,Faldo,33,"West Molesey, Surrey",Former army officer and trainee stuntwoman,1,STAR BAKER,Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,'Tutu with Opera Filling' Meringue Centrepiece
8,9,Stacey,Hart,42,"Radlett, Hertfordshire",Former school teacher,2,OUT,'Choux-nicorn and Choux-moji' Choux Buns,'Flamingos in Love' Meringue Centrepiece
8,9,Steven,Carter,34,"Watford, Hertfordshire",Marketer,3,IN,Key Lime Cheesecake and Bakewell Tart Choux Buns,'Some Air Over the Rainbow' Meringue Centrepiece
8,9,Kate,Lyon,29,Merseyside,Health and safety inspector,4,IN,Bellini and Valencian Orange Choux Buns,'Rainbow' Meringue Centrepiece
8,10,Steven,Carter,34,"Watford, Hertfordshire",Marketer,1,Runner-up,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",'Yin Yang' Entremet
8,10,Sophie,Faldo,33,"West Molesey, Surrey",Former army officer and trainee stuntwoman,2,WINNER,"Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",'Ode to the Honey Bee' Entremet
8,10,Kate,Lyon,29,Merseyside,Health and safety inspector,3,Runner-up,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet"
9,1,Ruby,Bhogal,29,London,Project manager,1,IN,NA,NA
9,1,Briony,Williams,33,Bristol,Full-time parent,2,IN,NA,NA
9,1,Manon,Lagrave,26,London,Software project manager,3,STAR BAKER,NA,NA
9,1,Dan,Beasley,36,London,Full-time parent,4,IN,NA,NA
9,1,Jon,Jenkins,47,Newport,Blood courier,5,IN,NA,NA
9,1,Karen,Wright,60,Wakefield,In-store sampling assistant,6,IN,NA,NA
9,1,Rahul,Mandal,30,Rotherham,Research scientist,7,IN,NA,NA
9,1,Luke,Thompson,30,Sheffield,Civil servant/house and techno DJ,8,IN,NA,NA
9,1,Terry,Hartill,56,West Midlands,Retired air steward,9,IN,NA,NA
9,1,Kim-Joy,NA,NA,NA,NA,10,IN,NA,NA
9,1,Imelda,McCarron,33,County Tyrone,Countryside recreation officer,11,OUT,NA,NA
9,1,Antony,Amourdoux,30,London,Banker,12,IN,NA,NA
9,2,Jon,Jenkins,47,Newport,Blood courier,1,IN,NA,NA
9,2,Rahul,Mandal,30,Rotherham,Research scientist,2,STAR BAKER,NA,NA
9,2,Dan,Beasley,36,London,Full-time parent,3,IN,NA,NA
9,2,Kim-Joy,NA,NA,NA,NA,4,IN,NA,NA
9,2,Briony,Williams,33,Bristol,Full-time parent,5,IN,NA,NA
9,2,Manon,Lagrave,26,London,Software project manager,6,IN,NA,NA
9,2,Luke,Thompson,30,Sheffield,Civil servant/house and techno DJ,7,OUT,NA,NA
9,2,Terry,Hartill,56,West Midlands,Retired air steward,8,IN,NA,NA
9,2,Antony,Amourdoux,30,London,Banker,9,IN,NA,NA
9,2,Ruby,Bhogal,29,London,Project manager,10,IN,NA,NA
9,2,Karen,Wright,60,Wakefield,In-store sampling assistant,11,IN,NA,NA
9,3,Terry,Hartill,56,West Midlands,Retired air steward,1,IN,NA,NA
9,3,Jon,Jenkins,47,Newport,Blood courier,2,IN,NA,NA
9,3,Manon,Lagrave,26,London,Software project manager,3,IN,NA,NA
9,3,Rahul,Mandal,30,Rotherham,Research scientist,4,STAR BAKER,NA,NA
9,3,Karen,Wright,60,Wakefield,In-store sampling assistant,5,IN,NA,NA
9,3,Dan,Beasley,36,London,Full-time parent,6,IN,NA,NA
9,3,Ruby,Bhogal,29,London,Project manager,7,IN,NA,NA
9,3,Antony,Amourdoux,30,London,Banker,8,OUT,NA,NA
9,3,Briony,Williams,33,Bristol,Full-time parent,9,IN,NA,NA
9,3,Kim-Joy,NA,NA,NA,NA,10,IN,NA,NA
9,4,Dan,Beasley,36,London,Full-time parent,1,STAR BAKER,NA,NA
9,4,Ruby,Bhogal,29,London,Project manager,2,IN,NA,NA
9,4,Jon,Jenkins,47,Newport,Blood courier,3,IN,NA,NA
9,4,Rahul,Mandal,30,Rotherham,Research scientist,4,IN,NA,NA
9,4,Briony,Williams,33,Bristol,Full-time parent,5,IN,NA,NA
9,4,Kim-Joy,NA,NA,NA,NA,6,IN,NA,NA
9,4,Karen,Wright,60,Wakefield,In-store sampling assistant,7,IN,NA,NA
9,4,Manon,Lagrave,26,London,Software project manager,8,IN,NA,NA
9,4,Terry,Hartill,56,West Midlands,Retired air steward,NA,[a],NA,NA
9,5,Ruby,Bhogal,29,London,Project manager,1,IN,NA,NA
9,5,Dan,Beasley,36,London,Full-time parent,2,IN,NA,NA
9,5,Rahul,Mandal,30,Rotherham,Research scientist,3,IN,NA,NA
9,5,Kim-Joy,NA,NA,NA,NA,4,STAR BAKER,NA,NA
9,5,Manon,Lagrave,26,London,Software project manager,5,IN,NA,NA
9,5,Briony,Williams,33,Bristol,Full-time parent,6,IN,NA,NA
9,5,Jon,Jenkins,47,Newport,Blood courier,7,IN,NA,NA
9,5,Terry,Hartill,56,West Midlands,Retired air steward,8,OUT,NA,NA
9,5,Karen,Wright,60,Wakefield,In-store sampling assistant,9,OUT,NA,NA
9,6,Briony,Williams,33,Bristol,Full-time parent,1,STAR BAKER,NA,NA
9,6,Jon,Jenkins,47,Newport,Blood courier,2,IN,NA,NA
9,6,Rahul,Mandal,30,Rotherham,Research scientist,3,IN,NA,NA
9,6,Manon,Lagrave,26,London,Software project manager,4,IN,NA,NA
9,6,Kim-Joy,NA,NA,NA,NA,5,IN,NA,NA
9,6,Dan,Beasley,36,London,Full-time parent,6,OUT,NA,NA
9,6,Ruby,Bhogal,29,London,Project manager,7,IN,NA,NA
9,7,Rahul,Mandal,30,Rotherham,Research scientist,1,IN,NA,NA
9,7,Manon,Lagrave,26,London,Software project manager,2,IN,NA,NA
9,7,Ruby,Bhogal,29,London,Project manager,3,IN,NA,NA
9,7,Jon,Jenkins,47,Newport,Blood courier,4,OUT,NA,NA
9,7,Briony,Williams,33,Bristol,Full-time parent,5,IN,NA,NA
9,7,Kim-Joy,NA,NA,NA,NA,6,STAR BAKER,NA,NA
9,8,Briony,Williams,33,Bristol,Full-time parent,1,IN,NA,NA
9,8,Kim-Joy,NA,NA,NA,NA,2,IN,NA,NA
9,8,Ruby,Bhogal,29,London,Project manager,3,STAR BAKER,NA,NA
9,8,Manon,Lagrave,26,London,Software project manager,4,OUT,NA,NA
9,8,Rahul,Mandal,30,Rotherham,Research scientist,5,IN,NA,NA
9,9,Ruby,Bhogal,29,London,Project manager,1,STAR BAKER,NA,NA
9,9,Kim-Joy,NA,NA,NA,NA,2,IN,NA,NA
9,9,Briony,Williams,33,Bristol,Full-time parent,3,OUT,NA,NA
9,9,Rahul,Mandal,30,Rotherham,Research scientist,4,IN,NA,NA
9,10,Kim-Joy,NA,NA,NA,NA,1,Runner-up,NA,NA
9,10,Rahul,Mandal,30,Rotherham,Research scientist,2,WINNER,NA,NA
9,10,Ruby,Bhogal,29,London,Project manager,3,Runner-up,NA,NA
10,1,Henry,Bird,20,Durham,Student,1,IN,NA,NA
10,1,Rosie,Brandreth,28,Somerset,Veterinary surgeon,2,IN,NA,NA
10,1,Steph,Blackwell,28,Chester,Shop assistant,3,IN,NA,NA
10,1,Amelia,LeBruin,24,Halifax,Fashion designer,4,IN,NA,NA
10,1,Alice,Fevronia,28,Essex,Geography teacher,5,IN,NA,NA
10,1,Michelle,Evans,35,"Tenby, Wales",Print shop administrator,6,STAR BAKER,NA,NA
10,1,Priya,O,34,Leicester,Marketing consultant,7,IN,NA,NA
10,1,Phil,Thorne,56,Rainham,HGV driver,8,IN,NA,NA
10,1,Dan,Chambers,32,Rotherham,Support worker,9,OUT,NA,NA
10,1,David,Atherton,36,Whitby,International health adviser,10,IN,NA,NA
10,1,Michael,Chakraverty,26,Stratford-upon-Avon,Theatre manager/fitness instructor,11,IN,NA,NA
10,1,Helena,Garcia,40,Leeds,Online project manager,12,IN,NA,NA
10,1,Jamie,Finn,20,Surrey,Part-time waiter,13,IN,NA,NA
10,2,Alice,Fevronia,28,Essex,Geography teacher,1,STAR BAKER,NA,NA
10,2,David,Atherton,36,Whitby,International health adviser,2,IN,NA,NA
10,2,Phil,Thorne,56,Rainham,HGV driver,3,IN,NA,NA
10,2,Michael,Chakraverty,26,Stratford-upon-Avon,Theatre manager/fitness instructor,4,IN,NA,NA
10,2,Rosie,Brandreth,28,Somerset,Veterinary surgeon,5,IN,NA,NA
10,2,Henry,Bird,20,Durham,Student,6,IN,NA,NA
10,2,Priya,O,34,Leicester,Marketing consultant,7,IN,NA,NA
10,2,Michelle,Evans,35,"Tenby, Wales",Print shop administrator,8,IN,NA,NA
10,2,Amelia,LeBruin,24,Halifax,Fashion designer,9,IN,NA,NA
10,2,Steph,Blackwell,28,Chester,Shop assistant,10,IN,NA,NA
10,2,Jamie,Finn,20,Surrey,Part-time waiter,11,OUT,NA,NA
10,2,Helena,Garcia,40,Leeds,Online project manager,12,IN,NA,NA
10,3,Henry,Bird,20,Durham,Student,1,IN,NA,NA
10,3,David,Atherton,36,Whitby,International health adviser,2,IN,NA,NA
10,3,Steph,Blackwell,28,Chester,Shop assistant,3,IN,NA,NA
10,3,Priya,O,34,Leicester,Marketing consultant,4,IN,NA,NA
10,3,Michelle,Evans,35,"Tenby, Wales",Print shop administrator,5,IN,NA,NA
10,3,Michael,Chakraverty,26,Stratford-upon-Avon,Theatre manager/fitness instructor,6,STAR BAKER,NA,NA
10,3,Alice,Fevronia,28,Essex,Geography teacher,7,IN,NA,NA
10,3,Helena,Garcia,40,Leeds,Online project manager,8,IN,NA,NA
10,3,Rosie,Brandreth,28,Somerset,Veterinary surgeon,9,IN,NA,NA
10,3,Phil,Thorne,56,Rainham,HGV driver,10,IN,NA,NA
10,3,Amelia,LeBruin,24,Halifax,Fashion designer,11,OUT,NA,NA
10,4,Steph,Blackwell,28,Chester,Shop assistant,1,STAR BAKER,NA,NA
10,4,David,Atherton,36,Whitby,International health adviser,2,IN,NA,NA
10,4,Henry,Bird,20,Durham,Student,3,IN,NA,NA
10,4,Rosie,Brandreth,28,Somerset,Veterinary surgeon,4,IN,NA,NA
10,4,Michelle,Evans,35,"Tenby, Wales",Print shop administrator,5,IN,NA,NA
10,4,Phil,Thorne,56,Rainham,HGV driver,6,OUT,NA,NA
10,4,Michael,Chakraverty,26,Stratford-upon-Avon,Theatre manager/fitness instructor,7,IN,NA,NA
10,4,Alice,Fevronia,28,Essex,Geography teacher,8,IN,NA,NA
10,4,Helena,Garcia,40,Leeds,Online project manager,9,IN,NA,NA
10,4,Priya,O,34,Leicester,Marketing consultant,10,IN,NA,NA
10,5,Helena,Garcia,40,Leeds,Online project manager,1,OUT,NA,NA
10,5,Priya,O,34,Leicester,Marketing consultant,2,IN,NA,NA
10,5,Henry,Bird,20,Durham,Student,3,IN,NA,NA
10,5,Steph,Blackwell,28,Chester,Shop assistant,4,STAR BAKER,NA,NA
10,5,Rosie,Brandreth,28,Somerset,Veterinary surgeon,5,IN,NA,NA
10,5,Alice,Fevronia,28,Essex,Geography teacher,6,IN,NA,NA
10,5,Michelle,Evans,35,"Tenby, Wales",Print shop administrator,7,OUT,NA,NA
10,5,Michael,Chakraverty,26,Stratford-upon-Avon,Theatre manager/fitness instructor,8,IN,NA,NA
10,5,David,Atherton,36,Whitby,International health adviser,9,IN,NA,NA
10,6,Alice,Fevronia,28,Essex,Geography teacher,1,IN,NA,NA
10,6,David,Atherton,36,Whitby,International health adviser,2,IN,NA,NA
10,6,Steph,Blackwell,28,Chester,Shop assistant,3,STAR BAKER,NA,NA
10,6,Henry,Bird,20,Durham,Student,4,IN,NA,NA
10,6,Rosie,Brandreth,28,Somerset,Veterinary surgeon,5,IN,NA,NA
10,6,Michael,Chakraverty,26,Stratford-upon-Avon,Theatre manager/fitness instructor,6,IN,NA,NA
10,6,Priya,O,34,Leicester,Marketing consultant,7,OUT,NA,NA
10,7,Rosie,Brandreth,28,Somerset,Veterinary surgeon,1,IN,NA,NA
10,7,David,Atherton,36,Whitby,International health adviser,2,IN,NA,NA
10,7,Henry,Bird,20,Durham,Student,3,STAR BAKER,NA,NA
10,7,Steph,Blackwell,28,Chester,Shop assistant,4,IN,NA,NA
10,7,Michael,Chakraverty,26,Stratford-upon-Avon,Theatre manager/fitness instructor,5,OUT,NA,NA
10,7,Alice,Fevronia,28,Essex,Geography teacher,6,IN,NA,NA
10,8,David,Atherton,36,Whitby,International health adviser,1,IN,NA,NA
10,8,Rosie,Brandreth,28,Somerset,Veterinary surgeon,2,IN,NA,NA
10,8,Alice,Fevronia,28,Essex,Geography teacher,3,IN,NA,NA
10,8,Steph,Blackwell,28,Chester,Shop assistant,4,STAR BAKER,NA,NA
10,8,Henry,Bird,20,Durham,Student,5,OUT,NA,NA
10,9,Rosie,Brandreth,28,Somerset,Veterinary surgeon,1,OUT,NA,NA
10,9,David,Atherton,36,Whitby,International health adviser,2,IN,NA,NA
10,9,Steph,Blackwell,28,Chester,Shop assistant,3,IN,NA,NA
10,9,Alice,Fevronia,28,Essex,Geography teacher,4,STAR BAKER,NA,NA
10,10,David,Atherton,36,Whitby,International health adviser,1,WINNER,NA,NA
10,10,Alice,Fevronia,28,Essex,Geography teacher,2,Runner-up,NA,NA
10,10,Steph,Blackwell,28,Chester,Shop assistant,3,Runner-up,NA,NA
